id,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7,miembros
170,12,25,27,40,10,76,97,59,7
171,24,73,47,45,1,11,31,49,4
172,21,60,54,15,46,26,88,39,7
173,68,55,47,38,24,94,84,46,3
174,94,34,18,51,13,88,32,52,6
175,17,89,18,74,47,81,21,46,2
176,52,18,75,50,16,36,4,48,6
177,74,13,52,95,48,25,49,89,4
178,80,45,46,1,95,37,53,24,2
179,26,2,1,59,34,31,53,66,5
180,40,20,21,51,80,14,33,24,6
181,7,20,37,1,38,2,17,28,3
182,94,87,12,17,8,19,32,9,2
183,17,10,34,2,60,15,43,94,3
184,4,47,40,38,90,81,8,1,6
185,80,31,54,1,64,74,88,35,2
186,50,2,60,87,82,1,18,33,4
187,43,39,26,75,35,47,78,1,2
188,10,20,48,56,59,89,31,91,3
189,1,51,3,31,18,10,12,100,3
190,9,41,87,21,82,67,11,1,4
191,54,33,5,83,1,75,94,14,3
192,77,33,20,96,59,13,97,31,3
193,12,35,75,56,14,25,80,20,4
194,95,1,65,42,52,47,90,34,2
195,55,9,87,47,56,1,49,17,3
196,26,100,60,7,54,61,73,23,6
197,59,44,19,45,24,18,92,1,2
198,81,90,59,31,82,1,75,54,7
199,51,31,71,22,42,8,87,43,2
200,26,46,74,47,83,1,13,61,2
201,47,35,46,88,21,43,5,94,7
202,23,6,49,92,88,33,82,47,5
203,38,52,3,18,81,89,24,26,4
204,67,88,45,49,56,17,34,18,5
205,1,26,18,47,19,39,99,5,2
206,28,18,1,8,68,9,74,26,2
207,47,5,95,94,73,27,19,17,5
208,1,10,95,5,75,12,34,38,4
209,9,71,22,24,47,3,39,4,6
210,23,80,72,94,81,29,56,1,4
211,67,45,1,9,59,95,32,24,4
212,10,3,35,96,52,1,6,53,3
213,52,18,1,26,77,17,80,6,3
214,31,18,26,3,35,5,32,38,3
215,1,17,94,40,52,99,11,3,2
216,43,47,81,93,5,54,29,68,7
217,5,38,39,47,80,12,48,4,5
218,38,23,54,1,10,2,52,60,3
219,68,31,81,19,54,97,38,87,6
220,1,24,88,11,95,27,18,54,2
221,17,4,10,31,94,95,1,38,5
222,36,19,12,25,47,55,1,60,3
223,60,5,17,41,19,82,28,45,6
224,4,66,40,100,87,12,33,3,4
225,61,80,24,53,50,34,31,11,2
226,59,82,17,46,18,96,3,1,2
227,49,39,54,1,16,58,87,48,5
228,87,25,4,81,53,11,27,24,7
229,48,1,82,24,85,20,49,94,4
230,57,35,31,53,33,54,40,68,2
231,48,4,32,18,80,38,16,71,3
232,47,59,26,51,82,74,89,45,3
233,87,45,92,12,44,1,24,94,3
234,82,66,24,25,4,41,53,60,4
235,53,59,13,40,67,10,3,7,3
236,37,8,87,10,32,2,61,12,5
237,3,54,17,4,30,22,75,96,7
238,19,4,36,39,95,38,45,64,4
239,14,36,17,31,13,3,60,29,3
240,33,1,57,21,19,87,73,4,4
241,60,52,25,82,4,26,88,27,4
242,60,17,56,97,15,1,32,53,2
243,89,1,26,4,80,29,5,13,4
244,39,35,18,89,74,76,45,17,4
245,4,13,38,17,59,3,22,76,6
246,50,22,30,41,57,24,89,7,6
247,66,96,24,61,30,47,40,38,6
248,33,80,22,44,23,89,5,45,5
249,75,14,89,1,68,61,11,57,3
250,1,7,52,11,81,19,87,75,8
251,75,66,97,44,9,19,62,38,3
252,1,18,45,92,97,34,80,64,4
253,73,32,88,84,93,24,95,43,3
254,18,28,68,95,44,63,33,6,3
255,12,94,47,1,17,4,80,97,4
256,93,96,74,32,31,17,12,24,4
257,74,89,1,59,25,43,52,34,6
258,92,86,48,11,75,25,32,5,4
259,60,12,31,21,100,1,67,95,5
260,25,37,46,20,39,45,74,59,5
261,67,87,83,92,96,22,2,46,3
262,32,35,56,5,95,52,1,18,4
263,48,60,19,31,1,96,17,59,3
264,11,20,96,10,79,38,47,81,2
265,11,81,26,18,17,33,72,59,7
266,32,1,7,17,38,58,24,14,7
267,18,1,74,45,31,50,28,11,2
268,39,59,48,1,53,28,4,67,4
269,30,47,20,1,33,16,43,59,5
270,67,31,41,89,5,15,98,51,6
271,73,3,55,1,46,48,57,53,6
272,43,31,72,75,29,24,23,1,6
273,38,1,95,24,68,75,96,71,2
274,8,33,23,71,56,67,66,38,3
275,15,16,17,62,39,13,3,80,6
276,32,10,69,81,66,88,31,79,4
277,3,81,46,53,47,4,75,1,3
278,54,46,78,100,68,65,52,6,3
279,38,73,17,11,25,94,24,96,6
280,89,23,55,51,59,78,45,39,6
281,22,18,82,19,94,34,51,40,3
282,17,12,26,89,4,54,66,82,3
283,73,9,52,38,1,59,43,56,4
284,20,24,38,82,56,94,6,76,6
285,66,5,87,26,32,84,44,37,6
286,54,38,26,22,12,28,85,60,4
287,47,8,94,85,80,1,10,7,4
288,63,73,67,16,5,54,87,1,2
289,66,26,11,18,32,30,4,38,3
290,25,56,5,43,38,95,53,59,5
291,80,23,22,11,45,93,26,3,2
292,66,19,40,75,36,31,44,89,3
293,67,23,47,18,30,12,37,14,5
294,46,1,4,17,68,38,24,12,7
295,10,47,31,85,13,24,18,35,8
296,39,50,31,55,10,17,23,14,3
297,48,35,1,54,63,12,67,38,3
298,19,50,32,13,80,53,22,8,3
299,32,39,17,10,46,1,53,2,3
300,5,87,40,81,61,72,25,30,4
301,45,53,19,39,82,56,11,38,2
302,4,39,11,47,80,8,10,72,4
303,27,13,89,17,1,82,34,74,3
304,86,28,32,40,90,88,19,53,6
305,58,12,54,31,1,52,24,76,5
306,2,89,47,67,54,36,19,57,6
307,1,32,39,5,86,4,17,38,4
308,47,1,10,35,26,46,39,13,4
309,19,4,31,96,66,18,28,80,4
310,89,64,91,60,11,75,74,67,3
311,59,8,96,72,13,18,22,70,2
312,43,73,5,1,38,2,39,24,2
313,17,37,12,95,1,54,16,32,5
314,39,4,40,57,95,45,47,24,3
315,45,17,38,32,36,54,39,49,4
316,53,52,44,2,80,96,88,32,5
317,25,88,74,52,63,49,79,31,3
318,49,4,82,73,32,1,53,14,4
319,10,75,37,68,81,21,31,15,5
320,7,20,31,88,19,1,48,92,5
321,1,95,53,40,54,56,58,74,5
322,82,53,57,14,46,61,71,75,4
323,48,17,55,41,15,1,27,45,4
324,33,54,75,55,95,67,1,17,3
325,1,3,20,35,4,23,10,56,2
326,26,31,96,22,38,29,77,89,4
327,46,14,80,35,31,1,17,64,4
328,10,66,53,97,6,44,95,87,3
329,19,41,1,24,74,25,4,43,3
330,82,94,93,4,10,38,1,32,3
331,17,1,57,45,19,67,7,37,4
332,10,38,82,75,14,1,7,11,2
333,23,59,1,3,81,99,88,20,6
334,22,33,55,95,90,67,72,6,4
335,68,1,47,30,11,61,45,5,3
336,89,1,80,38,50,9,3,87,4
337,24,1,18,90,26,7,80,19,4
338,74,95,53,35,46,3,18,52,4
339,45,1,29,22,82,81,50,78,6
340,1,13,31,67,60,24,38,36,4
341,58,31,45,50,12,67,46,80,3
342,54,74,28,64,44,59,95,96,5
343,89,88,33,67,4,61,2,27,3
344,23,30,1,24,10,49,58,29,7
345,66,45,33,96,60,42,67,26,4
346,1,24,94,4,88,9,30,5,3
347,59,11,60,1,3,15,94,80,4
348,1,5,10,94,52,47,19,45,5
349,19,1,88,36,59,94,86,80,3
350,96,74,24,27,41,2,1,61,8
351,27,74,35,46,2,45,55,64,7
352,93,67,55,89,1,17,31,61,4
353,25,4,94,1,80,11,34,81,2
354,87,27,54,43,1,46,94,3,5
355,53,85,60,45,2,86,57,10,5
356,33,51,1,17,31,66,5,73,4
357,25,18,55,4,66,75,39,1,5
358,11,1,88,93,59,52,10,14,3
359,90,4,61,17,30,21,81,66,5
360,55,99,10,32,7,46,24,1,4
361,87,34,58,1,96,36,12,32,4
362,81,61,68,40,9,12,23,29,3
363,12,53,1,73,96,16,46,48,2
364,99,21,45,24,12,1,26,32,3
365,4,53,33,51,54,25,73,74,2
366,3,93,46,19,89,13,88,54,8
367,17,53,48,26,11,25,14,27,2
368,26,93,1,59,40,46,76,70,6
369,45,1,72,38,46,22,41,48,3
370,13,93,25,18,74,68,52,59,8
371,26,33,93,20,18,60,32,1,2
372,96,98,25,73,75,40,88,59,6
373,61,9,2,41,66,19,89,33,5
374,75,88,23,10,5,1,38,35,2
375,6,12,77,40,1,80,61,89,3
376,26,80,41,36,52,88,95,60,5
377,82,11,1,5,60,61,41,19,3
378,25,18,47,53,11,50,8,12,3
379,4,12,66,65,16,38,10,30,6
380,73,82,99,69,87,7,96,53,5
381,27,46,15,87,12,29,1,23,7
382,48,17,43,89,94,11,55,53,5
383,12,1,40,69,4,28,59,73,4
384,3,73,10,6,24,80,59,38,4
385,29,87,59,96,2,82,32,62,6
386,66,15,96,59,94,82,16,23,8
387,39,4,88,1,38,52,57,29,7
388,32,45,80,18,30,81,67,39,4
389,54,94,1,36,6,96,38,73,4
390,40,1,5,60,21,18,37,39,4
391,75,53,40,32,31,1,47,82,6
392,60,47,31,16,96,74,54,20,4
393,36,5,1,27,95,52,48,53,2
394,11,28,24,4,10,40,54,12,4
395,8,18,1,19,81,17,60,68,7
396,75,2,72,47,24,96,17,32,3
397,52,46,76,26,94,33,45,12,2
398,37,17,1,56,23,64,33,88,7
399,5,31,19,39,89,52,9,81,2
400,3,47,80,64,24,98,11,14,2
401,52,4,32,1,73,26,24,40,4
402,25,4,63,24,75,54,26,81,4
403,17,74,68,73,36,37,86,64,4
404,48,49,88,1,57,7,96,19,7
405,54,87,24,31,45,1,100,78,3
406,3,5,45,12,11,1,6,15,2
407,68,10,18,13,6,66,94,7,2
408,21,5,81,18,49,10,75,32,4
409,81,5,3,67,12,13,54,58,4
410,81,17,33,2,27,18,73,22,3
411,1,74,83,52,17,91,4,26,6
412,25,45,89,1,54,65,66,39,5
413,80,17,62,94,28,45,82,61,8
414,26,8,59,77,45,42,57,52,4
415,24,1,13,5,79,85,51,9,5
416,96,75,38,41,31,26,80,22,4
417,10,74,47,71,34,80,17,67,3
418,32,96,1,42,33,89,41,24,4
419,26,94,25,17,75,42,67,1,5
420,60,3,11,1,99,20,49,59,2
421,87,69,47,43,68,38,95,24,3
422,24,17,45,27,83,35,5,19,6
423,74,53,1,32,31,11,25,29,4
424,4,66,3,82,38,85,74,77,2
425,30,10,24,33,88,1,53,87,4
426,33,36,59,19,61,95,5,4,6
427,24,42,12,1,88,11,3,52,3
428,40,46,88,38,17,85,13,61,8
429,2,94,28,32,88,86,59,25,4
430,66,5,25,96,48,7,14,60,7
431,12,15,37,1,26,25,59,73,7
432,45,26,28,88,40,66,39,38,4
433,1,61,11,45,24,14,7,83,3
434,18,62,50,2,96,23,36,53,6
435,1,31,80,24,37,38,32,16,2
436,11,33,18,12,1,39,5,13,4
437,38,64,1,54,13,82,53,12,5
438,25,1,38,46,67,24,28,45,3
439,1,18,6,3,75,19,37,96,6
440,39,96,74,47,94,41,19,45,5
441,33,11,47,8,61,24,66,64,4
442,29,60,5,73,89,53,1,27,7
443,14,89,1,30,54,82,41,26,3
444,26,31,11,33,60,61,39,82,4
445,74,59,56,21,58,73,100,25,3
446,27,29,25,22,62,48,47,33,4
447,19,94,21,14,9,4,1,80,4
448,82,26,19,99,12,36,95,80,2
449,18,1,96,10,23,48,54,11,3
450,60,22,38,48,80,28,26,40,2
451,33,1,50,18,59,24,45,10,3
452,87,18,86,26,33,6,3,1,4
453,33,51,3,62,1,68,83,5,5
454,11,17,46,38,1,56,36,55,3
455,1,3,73,46,87,52,59,10,4
456,94,26,27,59,7,25,48,60,5
457,70,51,18,12,34,44,75,82,3
458,46,96,13,1,48,25,79,37,6
459,66,33,1,22,11,59,41,38,4
460,30,59,18,33,65,32,41,1,4
461,27,4,91,20,38,18,10,36,2
462,80,58,1,27,81,29,73,25,6
463,18,33,71,66,38,59,81,75,5
464,46,1,43,96,19,68,36,5,5
465,46,1,15,16,59,33,90,74,4
466,36,38,20,3,27,4,26,22,4
467,3,24,7,33,20,16,26,27,2
468,54,42,8,60,87,37,57,52,4
469,93,25,85,88,76,22,39,98,6
470,17,89,82,38,53,19,9,12,2
471,38,12,26,73,1,32,79,11,4
472,1,59,14,74,73,61,63,33,4
473,56,21,74,45,94,81,26,41,3
474,22,28,2,80,50,5,33,41,5
475,33,18,1,10,15,68,61,96,5
476,54,56,86,33,7,34,52,100,3
477,60,87,96,32,25,54,42,67,4
478,5,24,7,56,20,68,89,18,5
479,34,94,65,40,74,24,53,60,2
480,1,78,40,95,58,68,13,22,3
481,13,72,18,42,66,89,44,75,5
482,30,68,23,37,26,20,25,81,2
483,78,89,59,40,41,95,94,88,5
484,26,87,19,46,10,88,22,73,4
485,30,3,31,40,73,47,82,18,5
486,11,17,1,60,19,67,62,50,8
487,26,21,71,65,56,31,47,73,3
488,40,7,13,5,1,16,88,35,4
489,16,1,55,38,52,3,54,10,3
490,28,32,13,6,1,88,59,19,3
491,73,81,67,16,9,96,53,88,7
492,95,87,8,59,44,80,75,46,3
493,16,7,40,97,11,1,46,36,3
494,95,33,18,34,27,12,38,24,4
495,56,68,61,1,40,19,84,46,5
496,3,56,42,13,25,66,29,24,4
497,16,10,80,63,3,31,90,26,6
498,45,71,18,23,21,1,96,94,4
499,46,80,60,15,10,28,9,74,2
500,27,30,19,46,1,4,53,45,5
501,21,15,53,3,59,75,25,1,5
502,56,4,21,9,6,52,66,1,2
503,22,91,6,32,61,45,67,17,5
504,1,81,33,75,38,29,39,58,8
505,16,10,30,18,9,19,12,3,2
506,38,17,1,42,10,24,11,45,7
507,47,13,73,16,22,17,4,1,7
508,35,39,53,50,18,24,47,15,2
509,37,25,32,36,6,54,57,4,5
510,82,53,57,1,46,89,60,25,2
511,43,1,46,85,26,37,32,24,5
512,58,4,71,17,78,40,68,10,4
513,64,59,57,1,14,89,18,9,3
514,3,52,26,45,40,87,7,72,3
515,14,3,7,80,19,1,53,38,4
516,17,42,79,81,94,35,13,89,6
517,60,61,1,47,68,26,8,34,3
518,24,18,19,16,53,46,1,10,4
519,24,25,9,54,11,63,10,87,6
520,4,5,45,48,75,31,56,77,3
521,66,68,61,1,45,65,40,85,2
522,32,1,3,61,38,98,11,75,2
523,4,5,51,7,81,17,13,98,4
524,74,1,46,52,12,55,88,87,4
525,19,45,24,98,48,15,23,79,4
526,59,68,74,19,11,31,8,3,4
527,16,39,1,50,82,19,70,11,4
528,68,15,100,7,31,23,88,1,5
529,25,87,47,41,54,61,58,94,5
530,61,52,75,12,33,69,10,53,7
531,45,61,75,2,95,57,3,100,3
532,4,47,75,56,5,54,24,32,5
533,26,74,17,21,24,1,50,51,3
534,14,26,81,95,83,88,61,5,2
535,12,72,4,42,32,95,1,11,7
536,91,1,29,4,11,66,72,26,2
537,23,53,96,1,46,5,4,60,5
538,83,26,12,19,40,1,7,79,5
539,9,59,19,25,49,4,17,33,2
540,31,14,41,4,47,1,5,25,3
541,60,40,86,32,59,1,38,5,5
542,22,53,21,46,98,39,90,3,4
543,53,17,5,3,1,54,68,20,3
544,12,17,16,7,56,80,34,25,5
545,81,79,24,73,95,88,52,7,5
546,80,51,4,42,33,1,60,81,4
547,60,1,33,5,20,4,38,25,7
548,88,89,22,12,85,9,29,67,6
549,1,44,37,19,10,50,26,47,3
550,73,5,1,24,47,40,18,41,2
551,3,19,50,1,32,11,18,75,4
552,35,43,94,46,58,4,12,51,2
553,45,3,35,60,59,19,13,83,2
554,53,11,47,12,51,1,32,10,3
555,10,1,73,60,38,9,39,7,4
556,26,98,33,31,46,53,32,35,6
557,94,16,39,2,68,67,27,78,7
558,18,20,3,94,41,58,21,82,6
559,47,26,4,1,21,38,75,50,7
560,18,25,46,55,41,82,68,94,2
561,20,5,67,31,1,15,44,25,3
562,89,27,11,1,51,64,47,82,5
563,47,74,76,52,68,6,46,56,3
564,82,45,54,20,48,96,18,11,6
565,91,43,66,1,12,74,48,82,4
566,45,11,39,25,82,17,4,24,2
567,1,96,7,76,44,52,39,62,5
568,80,24,95,53,2,99,32,73,7
569,25,31,10,45,19,1,3,32,6
570,11,16,4,43,47,9,25,12,3
571,98,60,19,24,20,17,29,18,4
572,62,97,33,13,81,96,74,68,4
573,19,77,89,11,2,1,71,47,4
574,88,1,31,63,94,4,82,47,5
575,94,10,31,44,38,21,27,26,2
576,81,3,75,68,25,1,24,70,3
577,31,88,18,40,6,52,46,74,4
578,18,1,10,89,17,97,41,52,4
579,11,77,32,47,53,46,5,21,7
580,49,17,32,61,47,4,29,95,8
581,42,71,12,87,45,40,3,8,4
582,20,15,25,12,39,81,24,54,2
583,1,35,23,2,79,20,65,80,7
584,87,19,4,77,75,80,25,83,3
585,3,4,26,14,33,20,67,12,4
586,67,78,39,26,23,32,37,43,4
587,40,8,39,63,37,67,10,49,4
588,51,47,1,26,34,22,88,98,3
589,82,47,31,74,93,9,54,12,4
590,5,67,90,11,97,87,96,1,5
591,55,94,82,56,49,1,15,89,4
592,40,5,14,96,27,94,11,81,5
593,23,96,1,4,89,47,87,25,5
594,1,61,95,54,32,59,58,51,7
595,19,10,34,30,54,69,24,88,2
596,88,82,33,45,29,39,1,60,4
597,81,1,9,16,73,94,39,74,5
598,47,3,18,74,59,39,4,31,2
599,43,11,16,31,3,1,12,83,3
600,15,3,29,1,37,67,19,74,4
601,2,68,96,95,20,92,33,27,6
602,12,5,81,1,34,39,25,10,4
603,1,58,87,98,12,11,67,24,7
604,15,59,33,43,14,52,19,13,5
605,12,87,39,10,80,49,61,74,3
606,12,81,5,66,76,38,85,54,3
607,81,51,95,56,17,19,4,1,3
608,94,81,88,96,4,29,46,61,5
609,94,18,91,66,23,4,1,89,5
610,1,51,82,47,29,16,95,60,2
611,57,73,9,27,45,70,82,18,4
612,1,10,32,18,90,45,68,52,4
613,96,88,25,43,26,53,38,5,7
614,61,25,53,75,28,5,17,11,4
615,58,17,48,1,71,32,14,25,4
616,44,60,19,24,96,94,26,10,4
617,80,4,8,1,18,9,100,11,6
618,2,1,52,47,46,61,51,44,4
619,42,19,95,56,29,5,87,45,3
620,52,26,40,79,2,3,53,94,7
621,1,95,12,24,40,26,25,9,4
622,99,15,81,19,1,87,86,61,4
623,75,19,6,26,88,10,30,39,3
624,1,78,47,26,80,87,79,39,5
625,1,47,19,51,77,93,54,46,5
626,33,31,96,28,89,87,12,15,4
627,3,24,40,81,11,45,19,94,5
628,1,23,83,10,53,97,24,39,6
629,62,9,6,24,3,46,27,68,3
630,95,18,15,45,59,9,33,10,7
631,10,75,17,31,5,46,26,59,3
632,33,66,29,11,26,88,25,80,4
633,10,51,94,26,1,38,54,48,7
634,24,11,17,16,95,23,70,75,3
635,30,84,47,73,46,1,91,67,5
636,80,21,1,39,4,53,19,10,8
637,40,19,12,13,27,26,20,11,3
638,26,16,6,46,1,23,68,27,3
639,30,60,1,12,73,2,39,43,4
640,43,78,25,37,22,56,1,28,3
641,81,52,38,61,28,50,59,68,4
642,73,39,31,29,3,19,1,4,7
643,12,26,74,32,2,67,18,82,4
644,19,1,81,18,59,26,96,11,2
645,10,50,19,26,98,21,59,30,2
646,48,54,13,81,15,14,38,2,6
647,57,16,69,24,96,87,3,18,5
648,38,48,32,5,67,8,77,94,7
649,65,71,52,81,23,4,29,1,5
650,47,9,2,81,1,67,59,19,3
651,46,17,47,68,32,58,82,40,5
652,16,59,14,94,1,7,61,39,4
653,95,1,88,92,33,21,66,74,4
654,10,88,17,59,2,8,14,96,6
655,73,96,4,32,13,5,16,7,4
656,68,7,74,3,46,14,87,22,3
657,48,80,45,23,17,41,82,58,4
658,35,27,81,22,68,4,11,75,2
659,69,91,31,11,68,89,3,10,3
660,54,38,23,58,10,68,5,21,8
661,31,80,17,45,66,47,1,63,7
662,1,18,75,59,46,82,88,11,3
663,6,64,20,87,54,88,96,59,3
664,24,18,10,1,2,39,73,68,4
665,60,34,1,96,6,42,39,19,3
666,48,17,30,5,96,52,35,25,4
667,81,17,52,33,64,32,39,21,2
668,10,61,38,52,34,33,6,67,4
669,61,7,54,10,87,11,4,95,2
670,18,5,50,33,52,80,45,4,4
671,67,17,44,48,42,15,33,58,4
672,44,84,82,46,54,89,81,57,3
673,17,87,38,52,6,90,19,47,4
674,76,26,53,29,89,83,3,54,4
675,61,2,10,64,95,53,38,15,5
676,4,1,88,45,53,96,61,24,4
677,95,1,88,16,14,52,45,83,4
678,32,28,54,26,40,60,9,75,4
679,23,54,1,33,81,31,37,52,5
680,27,32,45,67,82,83,1,66,6
681,61,59,60,10,24,31,39,68,4
682,15,5,63,47,21,10,53,26,4
683,40,4,36,10,68,50,82,51,3
684,26,41,3,5,93,53,74,40,3
685,46,34,82,33,53,27,55,32,3
686,18,33,53,83,4,24,23,88,7
687,1,51,58,33,44,2,4,95,6
688,88,12,74,10,51,73,60,11,3
689,67,68,88,37,1,87,42,10,6
690,38,32,6,48,75,47,10,29,5
691,8,33,54,83,95,81,53,88,2
692,13,5,38,35,19,1,73,81,8
693,8,27,73,74,59,31,1,32,5
694,96,59,56,70,89,1,52,54,2
